assignment,id,date,time1,ampm
1,prof,3/30/2011,7:53,PM
1,34,3/30/2011,11:43,PM
1,18,3/31/2011,12:26,AM
1,27,3/31/2011,2:06,AM
1,11,3/31/2011,9:12,AM
1,7,3/31/2011,11:24,AM
1,29,3/31/2011,1:52,PM
1,38,3/31/2011,2:20,PM
1,19,3/31/2011,2:42,PM
1,56,3/31/2011,2:53,PM
1,28,3/31/2011,2:54,PM
1,50,3/31/2011,2:56,PM
1,22,3/31/2011,3:11,PM
1,17,3/31/2011,3:23,PM
1,17,3/31/2011,3:25,PM
1,57,3/31/2011,3:55,PM
1,11,3/31/2011,4:01,PM
1,48,3/31/2011,4:15,PM
1,39,3/31/2011,4:31,PM
1,16,3/31/2011,4:31,PM
1,14,3/31/2011,4:38,PM
1,2,3/31/2011,4:42,PM
1,63,3/31/2011,4:54,PM
1,20,3/31/2011,4:55,PM
1,51,3/31/2011,5:02,PM
1,8,3/31/2011,5:02,PM
1,61,3/31/2011,5:02,PM
1,10,3/31/2011,5:03,PM
1,30,3/31/2011,5:04,PM
1,43,3/31/2011,5:05,PM
1,31,3/31/2011,5:06,PM
1,54,3/31/2011,5:17,PM
1,59,3/31/2011,5:24,PM
1,40,3/31/2011,5:30,PM
1,41,3/31/2011,5:30,PM
1,55,3/31/2011,5:31,PM
1,53,3/31/2011,5:35,PM
1,53,3/31/2011,5:36,PM
1,9,3/31/2011,5:36,PM
1,58,3/31/2011,5:37,PM
1,3,3/31/2011,5:44,PM
1,24,3/31/2011,5:47,PM
1,25,3/31/2011,5:49,PM
1,42,3/31/2011,5:50,PM
1,46,3/31/2011,5:50,PM
1,45,3/31/2011,5:51,PM
1,5,3/31/2011,5:51,PM
1,37,3/31/2011,5:53,PM
1,13,3/31/2011,5:55,PM
1,4,3/31/2011,5:58,PM
1,53,3/31/2011,5:59,PM
1,60,3/31/2011,5:59,PM
1,62,3/31/2011,5:59,PM
1,36,3/31/2011,6:01,PM
1,49,3/31/2011,6:07,PM
1,6,3/31/2011,6:18,PM
1,15,4/1/2011,3:18,PM
1,35,4/1/2011,5:38,PM
1,52,4/1/2011,6:00,PM
1,33,4/2/2011,12:58,PM
1,47,4/5/2011,8:25,PM
1,12,5/24/2011,2:44,PM
2,prof,4/5/2011,6:01,PM
2,19,4/6/2011,2:38,PM
2,7,4/6/2011,2:57,PM
2,18,4/6/2011,4:49,PM
2,11,4/6/2011,4:55,PM
2,50,4/6/2011,5:18,PM
2,15,4/6/2011,6:00,PM
2,42,4/6/2011,7:28,PM
2,2,4/6/2011,7:31,PM
2,63,4/6/2011,7:45,PM
2,20,4/6/2011,8:59,PM
2,59,4/6/2011,9:29,PM
2,28,4/6/2011,9:37,PM
2,53,4/6/2011,9:41,PM
2,22,4/6/2011,9:59,PM
2,61,4/6/2011,10:19,PM
2,5,4/6/2011,10:21,PM
2,38,4/6/2011,10:31,PM
2,29,4/6/2011,10:36,PM
2,16,4/6/2011,10:42,PM
2,57,4/6/2011,11:13,PM
2,35,4/6/2011,11:22,PM
2,58,4/6/2011,11:51,PM
2,24,4/7/2011,12:16,AM
2,30,4/7/2011,12:18,AM
2,51,4/7/2011,12:26,AM
2,45,4/7/2011,12:27,AM
2,8,4/7/2011,12:31,AM
2,10,4/7/2011,12:37,AM
2,34,4/7/2011,12:39,AM
2,14,4/7/2011,12:55,AM
2,52,4/7/2011,1:17,AM
2,32,4/7/2011,1:23,AM
2,38,4/7/2011,1:28,AM
2,4,4/7/2011,1:53,AM
2,17,4/7/2011,1:53,AM
2,37,4/7/2011,2:03,AM
2,43,4/7/2011,2:03,AM
2,62,4/7/2011,2:22,AM
2,46,4/7/2011,2:28,AM
2,9,4/7/2011,2:47,AM
2,39,4/7/2011,2:56,AM
2,25,4/7/2011,2:56,AM
2,26,4/7/2011,3:18,AM
2,41,4/7/2011,4:05,AM
2,48,4/7/2011,4:08,AM
2,33,4/7/2011,4:47,AM
2,6,4/7/2011,5:14,AM
2,31,4/7/2011,6:01,AM
2,49,4/7/2011,6:15,AM
2,3,4/7/2011,8:17,AM
2,55,4/7/2011,8:27,AM
2,40,4/7/2011,8:34,AM
2,13,4/7/2011,8:39,AM
2,47,4/7/2011,8:59,AM
2,21,4/7/2011,11:20,AM
2,12,4/7/2011,11:58,AM
2,54,4/7/2011,12:07,PM
2,56,4/8/2011,11:48,AM
3,prof,4/12/2011,10:31,PM
3,11,4/13/2011,12:18,AM
3,45,4/13/2011,10:22,AM
3,18,4/13/2011,12:41,PM
3,42,4/13/2011,7:41,PM
3,2,4/13/2011,8:18,PM
3,20,4/13/2011,8:46,PM
3,50,4/13/2011,9:11,PM
3,38,4/13/2011,9:19,PM
3,14,4/13/2011,9:34,PM
3,22,4/13/2011,10:22,PM
3,7,4/13/2011,10:30,PM
3,10,4/13/2011,10:33,PM
3,16,4/13/2011,10:50,PM
3,35,4/13/2011,11:16,PM
3,28,4/13/2011,11:29,PM
